Page Path,Page Title,Pageviews,Avg Session Duration (s),Engagement Rate,Conversions
"/plan-screen-porch/outdoor-curtain-tracking/","﻿Outdoor Curtain Tracking - Mosquito Curtains","4","234.247021","1","0"
"/plan-screen-porch/mesh-and-colors/⁠","Page not found - Mosquito Curtains","3","15.2220165","1","0"
"/plan-screen-porch/outdoor-curtain-tracking/","Śledzenie zasłon zewnętrznych - Zasłony przeciw komarom","3","207.819081","1","0"
"/plan-screen-porch/","Tela de plano para varanda - Cortinas mosquiteiras","2","5.305733","1","0"
"/plan-screen-porch/2-sided-exposure/regular-columns-tracking/tel:8666220916","Page not found - Mosquito Curtains","2","6.202021","1","0"
"/plan-screen-porch/2-sided-exposure/regular-columns-velcro/tel:8666220916","Page not found - Mosquito Curtains","2","7.062266","1","0"
"/plan-screen-porch/3-sided-exposure/tel:18666220916","Page not found - Mosquito Curtains","2","6.699514","1","0"
"/plan-screen-porch/4-plus-sided-exposure/tel:8666220916","Page not found - Mosquito Curtains","2","6.910265","1","0"
"/plan-screen-porch/free-standing","Free Standing - Mosquito Curtains","2","7.779409","1","0"
"/plan-screen-porch/magnetic-doorways/","Magnetische Türen - Moskitovorhänge","2","16.047189","1","0"
"/plan-screen-porch/magnetic-doorways/","Porte magnetiche - Tende antizanzare","2","56.274532","1","0"
"/plan-screen-porch/magnetic-doorways/","磁性门道 - 蚊帐","2","83.3973315","1","0"
"/plan-screen-porch/mesh-and-colors/","Háló és színek - Szúnyogfüggönyök","2","325.334907","1","0"
"/plan-screen-porch/mesh-and-colors/","Jaring dan Warna - Tirai Nyamuk","2","0.006016","1","0"
"/plan-screen-porch/mesh-and-colors/","Maschen und Farben – Moskitovorhänge","2","94.267919357142858","1","0"
"/plan-screen-porch/mesh-and-colors/","Nät och färger - Mygggardiner","2","158.46361045454543","0.81818181818181823","0"
"/plan-screen-porch/mesh-and-colors/","​​​﻿Mesh and Colors - Mosquito Curtains","2","78.015343","1","0"
"/plan-screen-porch/mesh-and-colors/","﻿﻿﻿﻿​​﻿﻿Mesh and Colors - Mosquito Curtains","2","76.553735","1","0"
"/plan-screen-porch/outdoor-curtain-tracking/","Außenvorhangführung - Moskitovorhänge","2","70.284526","1","0"
"/plan-screen-porch/outdoor-curtain-tracking/","Cortinas mosquiteras para exteriores","2","296.99930457142858","1","0"
"/plan-screen-porch/outdoor-curtain-tracking/","Cortinas para exteriores con seguimiento: cortinas antimosquitos","2","66.861871","1","0"
"/plan-screen-porch/outdoor-curtain-tracking/","Kültéri függönykövetés - Szúnyogfüggönyök","2","399.181325","1","0"
"/plan-screen-porch/outdoor-curtain-tracking/","Monitoraggio delle tende da esterno - Tende antizanzare","2","83.171864","1","0"
"/plan-screen-porch/outdoor-curtain-tracking/","Tracking van buitengordijnen - Muggengordijnen","2","25.95599","1","0"
"/plan-screen-porch/outdoor-curtain-tracking/","Verfolgung von Vorhängen im Freien – Moskitovorhänge","2","178.057941","1","0"
"/plan-screen-porch/outdoor-curtain-tracking/","Śledzenie zasłon zewnętrznych - zasłony przeciw komarom","2","8.981466","1","0"
"/plan-screen-porch/outdoor-curtain-tracking/","​​​​Outdoor Curtain Tracking - Mosquito Curtains","2","870.821782","1","0"
"/plan-screen-porch/outdoor-curtain-tracking/","户外窗帘追踪 - 防蚊窗帘","2","297.875655","1","0"
"/plan-screen-porch/outdoor-curtain-tracking//","Outdoor Curtain Tracking - Mosquito Curtains","2","189.318557","1","0"
"/plan-screen-porch/sealing-the-base/","Abdichtung der Basis - Moskitovorhänge","2","5.101958","1","0"
"/plan-screen-porch/sealing-the-base/","Az alap tömítése – Szúnyogfüggönyök","2","65.795065","1","0"
"/plan-screen-porch/sealing-the-base/","Scellement de la base - Rideaux anti-moustiques","2","67.891353","1","0"
"/plan-screen-porch/sealing-the-base/","Uszczelnienie podstawy - Moskitiery","2","27.69797","1","0"
"/plan-screen-porch/sealing-the-base/","密封底座 - 蚊帳","2","17.023397","1","0"
"/plan-screen-porch/sealing-the-base/tel:18666220916","Page not found - Mosquito Curtains","2","4.022959","1","0"
"/plan-screen-porch/single-sided-exposure/tel:8666220916","Page not found - Mosquito Curtains","2","7.214849","1","0"
"/plan-screen-porch/tel:8666220916","Page not found - Mosquito Curtains","2","4.035246","1","0"
"/plan-screen-porch/2-sided-exposure/","(not set)","1","1.599751","0","0"
"/plan-screen-porch/2-sided-exposure/irregular-columns-tracking/","(not set)","1","4.3740965","0.5","0"
"/plan-screen-porch/2-sided-exposure/irregular-columns-tracking/tel:8666220916","(not set)","1","2.441417","0","0"
"/plan-screen-porch/2-sided-exposure/irregular-columns-velcro/","(not set)","1","3.866873","1","0"
"/plan-screen-porch/3-sided-exposure/","(not set)","1","4.15177225","0","0"
"/plan-screen-porch/3-sided-exposure/irregular-columns-tracking/","(not set)","1","0.185793","1","0"
"/plan-screen-porch/3-sided-exposure/irregular-columns-velcro/tel:8666220916","Page not found - Mosquito Curtains","1","2.117867","0","0"
"/plan-screen-porch/3-sided-exposure/regular-columns-tracking/tel:8666220916","Page not found - Mosquito Curtains","1","4.411531","0","0"
"/plan-screen-porch/3-sided-exposure/regular-columns-velcro/","(not set)","1","1.7295466666666666","0.66666666666666663","0"
"/plan-screen-porch/3-sided-exposure/regular-columns-velcro/tel:8666220916","(not set)","1","3.914386","1","0"
"/plan-screen-porch/3-sided-exposure/regular-columns-velcro/tel:8666220916","Page not found - Mosquito Curtains","1","2.962238","1","0"
"/plan-screen-porch/3-sided-exposure/tel:8666220916","Page not found - Mosquito Curtains","1","5.277949","0","0"
"/plan-screen-porch/4-plus-sided-exposure/irregular-columns-velcro/","(not set)","1","3.2555465","1","0"
"/plan-screen-porch/4-plus-sided-exposure/regular-columns-tracking/tel:8666220916","Page not found - Mosquito Curtains","1","3.703174","0","0"
"/plan-screen-porch/4-plus-sided-exposure/regular-columns-velcro/tel:8666220916","(not set)","1","3.086124","0","0"
"/plan-screen-porch/free-standing/tel:8666220916","(not set)","1","1.419222","1","0"
